route_id,route_key,spacegroup,scaffold,scaffold_id,route_train_count,data_package,checkpoint
R039,sg71_1a_1b_2e,71,1a;1b;2e,SG71|1a;1b;2e,1456,data,stage3/sg71_1a1b2e_v1.pt
R040,sg71_1a_1d_2g,71,1a;1d;2g,SG71|1a;1d;2g,243,data,stage3/sg71_1a1d2g_v1.pt
R041,sg63_2c_2c,63,2c;2c,SG63|2c;2c,134,data,stage3/sg63_2c2c.pt
R042,sg187_1a_1b_2i_3j_3k_6n,187,1a;1b;2i;3j;3k;6n,SG187|1a;1b;2i;3j;3k;6n,442,data,stage3/sg187_1a1b2i3j3k6n.pt
R043,sg62_4c_4c_4c_4c,62,4c;4c;4c;4c,SG62|4c;4c;4c;4c,117,data,stage3/sg62_4c4c4c4c_v1.pt
R044,sg38_1a_1a_1b_1b_2d_2e,38,1a;1a;1b;1b;2d;2e,SG38|1a;1a;1b;1b;2d;2e,877,data,stage3/sg38_1a1a1b1b2d2e_v1.pt
R045,sg62_4c_4c_8d,62,4c;4c;8d,SG62|4c;4c;8d,161,data,stage3/sg62_4c4c8d_v1.pt
R046,sg12_1a_2i_2i_2i,12,1a;2i;2i;2i,SG12|1a;2i;2i;2i,104,data,stage3/sg12_1a2i2i2i_v1.pt
R047,sg63_2c_2c_4f_4f_4f,63,2c;2c;4f;4f;4f,SG63|2c;2c;4f;4f;4f,109,data,stage3/sg63_2c2c4f4f4f_v1.pt
R048,sg14_4e_4e_4e_4e_4e_4e_4e,14,4e;4e;4e;4e;4e;4e;4e,SG14|4e;4e;4e;4e;4e;4e;4e,346,data,stage3/sg14_4e4e4e4e4e4e4e_v1.pt
R049,sg173_2a_2b_2b_6c_6c_6c,173,2a;2b;2b;6c;6c;6c,SG173|2a;2b;2b;6c;6c;6c,160,data,stage3/sg173_2a2b2b6c6c6c_v1.pt
R050,sg62_4c_4c_4c_4c_4c_4c_4c_4c_4c,62,4c;4c;4c;4c;4c;4c;4c;4c;4c,SG62|4c;4c;4c;4c;4c;4c;4c;4c;4c,142,data,stage3/sg62_4c4c4c4c4c4c4c4c4c_v1.pt
R051,sg14_4e_4e_4e_4e_4e_4e_4e_4e_4e,14,4e;4e;4e;4e;4e;4e;4e;4e;4e,SG14|4e;4e;4e;4e;4e;4e;4e;4e;4e,329,data,stage3/sg14_4e4e4e4e4e4e4e4e4e_v1.pt
R052,sg14_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e,14,4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,SG14|4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,429,data,stage3/sg14_4e4e4e4e4e4e4e4e4e4e_v1.pt
R053,sg14_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e,14,4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,SG14|4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,418,data,stage3/sg14_4e4e4e4e4e4e4e4e4e4e4e_v1.pt
