scaffold_id,space_group,crystal_system,K,wyckoff_sequence,D_rep,rho,support_count,released_train_count,val_count,test_count,median_n_atoms,serialized_lattice_dim,n_free_wyckoff_coords,packed_feature_dim
SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,1,triclinic,32,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,102,1.0,553,450,51,52,32,6,96,102
SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,1,triclinic,36,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,114,1.0,284,231,26,27,36,6,108,114
SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,1,triclinic,37,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,117,1.0,160,133,13,14,37,6,111,117
SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,1,triclinic,40,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,126,1.0,619,500,58,61,40,6,120,126
SG2|1c;1d;1f;1g;2i;2i;2i;2i;2i;2i;2i;2i,2,triclinic,12,1c;1d;1f;1g;2i;2i;2i;2i;2i;2i;2i;2i,30,0.454545,172,137,18,17,20,6,24,30
SG2|2i;2i;2i;2i;2i;2i,2,triclinic,6,2i;2i;2i;2i;2i;2i,24,0.571429,154,124,16,14,12,6,18,24
SG2|2i;2i;2i;2i;2i;2i;2i;2i,2,triclinic,8,2i;2i;2i;2i;2i;2i;2i;2i,30,0.555556,155,126,14,15,16,6,24,30
SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i,2,triclinic,9,2i;2i;2i;2i;2i;2i;2i;2i;2i,33,0.55,204,166,19,19,18,6,27,33
SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,2,triclinic,10,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,36,0.545455,188,155,16,17,20,6,30,36
SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,2,triclinic,11,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,39,0.541667,374,302,36,36,22,6,33,39
SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,2,triclinic,12,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,42,0.538462,292,236,27,29,24,6,36,42
SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,2,triclinic,13,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,45,0.535714,209,171,18,20,26,6,39,45
SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,2,triclinic,14,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,48,0.533333,254,210,23,21,28,6,42,48
SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,2,triclinic,15,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,51,0.53125,168,138,13,17,30,6,45,51
SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,2,triclinic,16,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,54,0.529412,135,116,10,9,32,6,48,54
SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,2,triclinic,18,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,60,0.526316,188,153,18,17,36,6,54,60
SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,2,triclinic,19,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,63,0.525,136,112,12,12,38,6,57,63
SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,2,triclinic,20,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,66,0.52381,130,110,11,9,40,6,60,66
SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,2,triclinic,22,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,72,0.521739,136,116,11,9,44,6,66,72
SG4|2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a,4,monoclinic,11,2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a,37,0.513889,137,112,13,12,22,6,33,39
SG7|2a;2a;2a;2a;2a;2a;2a;2a;2a;2a,7,monoclinic,10,2a;2a;2a;2a;2a;2a;2a;2a;2a;2a,34,0.515152,169,137,17,15,20,6,30,36
SG9|2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a,9,monoclinic,19,2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a,61,0.260684,126,104,12,10,76,6,57,63
SG9|2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a,9,monoclinic,20,2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a,64,0.260163,192,157,17,18,80,6,60,66
SG12|1a;2i;2i;2i,12,monoclinic,4,1a;2i;2i;2i,10,0.208333,130,104,12,14,14,6,6,12
SG14|4e;4e;4e;4e;4e;4e;4e,14,monoclinic,7,4e;4e;4e;4e;4e;4e;4e,25,0.277778,436,349,43,44,28,6,21,27
SG14|4e;4e;4e;4e;4e;4e;4e;4e,14,monoclinic,8,4e;4e;4e;4e;4e;4e;4e;4e,28,0.27451,456,368,43,45,32,6,24,30
SG14|4e;4e;4e;4e;4e;4e;4e;4e;4e,14,monoclinic,9,4e;4e;4e;4e;4e;4e;4e;4e;4e,31,0.27193,410,331,41,38,36,6,27,33
SG14|4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,14,monoclinic,10,4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,34,0.269841,512,412,49,51,40,6,30,36
SG14|4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,14,monoclinic,11,4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,37,0.268116,532,429,52,51,44,6,33,39
SG14|4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,14,monoclinic,12,4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,40,0.266667,452,365,43,44,48,6,36,42
SG14|4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,14,monoclinic,13,4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,43,0.265432,404,329,39,36,52,6,39,45
SG14|4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,14,monoclinic,14,4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,46,0.264368,421,344,39,38,56,6,42,48
SG14|4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,14,monoclinic,15,4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,49,0.263441,269,221,25,23,60,6,45,51
SG14|4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,14,monoclinic,16,4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,52,0.262626,292,241,26,25,64,6,48,54
SG14|4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,14,monoclinic,17,4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,55,0.261905,288,239,25,24,68,6,51,57
